,states,year,quarter,district,trans_counts,amount
11735,telangana,2019,1,adilabad district,202558,363233268.9
11736,telangana,2019,1,rajanna sircilla district,336361,591748359
11737,telangana,2019,1,nagarkurnool district,394508,919667216.3
11738,telangana,2019,1,peddapalle district,670381,1232197525
11739,telangana,2019,1,nirmal district,316131,513648129.5
11740,telangana,2019,1,mahabubabad district,367401,589964630.4
11741,telangana,2019,1,sangareddy district,1782207,2801488635
11742,telangana,2019,1,wanaparthy district,256316,539178838
11743,telangana,2019,1,vikarabad district,339769,628307802.9
11744,telangana,2019,1,jagtial district,458055,774232192.3
11745,telangana,2019,1,yadadri bhuvanagiri district,650221,1153306717
11746,telangana,2019,1,medak district,424439,604006323.8
11747,telangana,2019,1,mahbubnagar district,505837,949702543.7
11748,telangana,2019,1,jaya shankar bhalupally district,271387,602186464.6
11749,telangana,2019,1,warangal urban district,1953906,2836690648
11750,telangana,2019,1,rangareddy district,12952050,17677048558
11751,telangana,2019,1,hyderabad district,24838664,34892156029
11752,telangana,2019,1,suryapet district,570175,1022801623
11753,telangana,2019,1,jogulamba gadwal district,261453,415838239.1
11754,telangana,2019,1,kamareddy district,494329,728765333.4
11755,telangana,2019,1,mulugu district,117826,286242139.7
11756,telangana,2019,1,medchal malkajgiri district,10127087,13392043971
11757,telangana,2019,1,karimnagar district,1088155,1693944274
11758,telangana,2019,1,mancherial district,589535,1094451064
11759,telangana,2019,1,siddipet district,841516,1380114924
11760,telangana,2019,1,khammam district,854495,1481079756
11761,telangana,2019,2,narayanpet district,178965,419237051.8
11762,telangana,2019,2,nalgonda district,982589,2323581177
11763,telangana,2019,2,jangaon district,451178,880333999.4
11764,telangana,2019,2,bhadradri kothagudem district,658827,1800936282
11765,telangana,2019,2,warangal rural district,525201,894990099.4
11766,telangana,2019,2,kumuram bheem asifabad district,146390,319016878.8
11767,telangana,2019,2,nizamabad district,782289,1812827883
11768,telangana,2019,2,adilabad district,187419,451538835.9
11769,telangana,2019,2,rajanna sircilla district,311530,702215438.9
11770,telangana,2019,2,nagarkurnool district,427374,1115389468
11771,telangana,2019,2,peddapalle district,657490,1566326736
11772,telangana,2019,2,nirmal district,237118,604053955.7
11773,telangana,2019,2,mahabubabad district,398457,820743447.2
11774,telangana,2019,2,sangareddy district,1920044,3684548499
11775,telangana,2019,2,wanaparthy district,270228,701368465.8
11776,telangana,2019,2,vikarabad district,349574,741826384.7
11777,telangana,2019,2,jagtial district,424736,1013323553
11778,telangana,2019,2,yadadri bhuvanagiri district,698908,1571831638
11779,telangana,2019,2,medak district,415222,805791072.5
11780,telangana,2019,2,mahbubnagar district,550333,1270311794
11781,telangana,2019,2,jaya shankar bhalupally district,290519,779327294.8
11782,telangana,2019,2,warangal urban district,2185190,3832142348
11783,telangana,2019,2,rangareddy district,16348519,25359412038
11784,telangana,2019,2,hyderabad district,43511186,73949377453
11785,telangana,2019,2,suryapet district,565731,1389837609
11786,telangana,2019,2,jogulamba gadwal district,250255,525141870.7
11787,telangana,2019,2,kamareddy district,454684,967447713.2
11788,telangana,2019,2,mulugu district,129404,357195912.5
11789,telangana,2019,2,medchal malkajgiri district,11891107,17462610963
11790,telangana,2019,2,karimnagar district,1090639,2218679007
11791,telangana,2019,2,mancherial district,571186,1433729477
11792,telangana,2019,2,siddipet district,821209,1837834819
11793,telangana,2019,2,khammam district,926878,2063514016
11794,telangana,2019,3,narayanpet district,247799,507773417.5
11795,telangana,2019,3,nalgonda district,1306394,2779870436
11796,telangana,2019,3,jangaon district,617113,1100060362
11797,telangana,2019,3,bhadradri kothagudem district,950852,2217033880
11798,telangana,2019,3,warangal rural district,777266,1188972513
11799,telangana,2019,3,kumuram bheem asifabad district,201674,415529444.8
11800,telangana,2019,3,nizamabad district,1143733,2214953317
11801,telangana,2019,3,adilabad district,253240,520200887.3
11802,telangana,2019,3,rajanna sircilla district,431892,866012869.2
11803,telangana,2019,3,nagarkurnool district,637843,1468968268
11804,telangana,2019,3,peddapalle district,894357,1872281816
11805,telangana,2019,3,nirmal district,396272,729433727.9
11806,telangana,2019,3,mahabubabad district,571751,1039765449
11807,telangana,2019,3,sangareddy district,2699670,4722370405
11808,telangana,2019,3,wanaparthy district,346164,815418253.3
11809,telangana,2019,3,vikarabad district,481649,915569514.4
11810,telangana,2019,3,jagtial district,575677,1234356051
11811,telangana,2019,3,yadadri bhuvanagiri district,930865,1868628041
11812,telangana,2019,3,medak district,533338,962334534.9
11813,telangana,2019,3,mahbubnagar district,783236,1631760143
11814,telangana,2019,3,jaya shankar bhalupally district,430844,982616709.7
11815,telangana,2019,3,warangal urban district,3280635,5206094338
11816,telangana,2019,3,rangareddy district,23655175,33663962263
11817,telangana,2019,3,hyderabad district,55159072,96365182751
11818,telangana,2019,3,suryapet district,716286,1573223461
11819,telangana,2019,3,jogulamba gadwal district,372312,743159787.5
11820,telangana,2019,3,kamareddy district,617048,1130608368
11821,telangana,2019,3,mulugu district,184715,444083132.2
11822,telangana,2019,3,medchal malkajgiri district,17492750,23256556346
11823,telangana,2019,3,karimnagar district,1604219,2911171015
11824,telangana,2019,3,mancherial district,772975,1753500369
11825,telangana,2019,3,siddipet district,1075629,2226176149
11826,telangana,2019,3,khammam district,1352931,2602393109
11827,telangana,2019,4,narayanpet district,348020,781969185.8
11828,telangana,2019,4,nalgonda district,1934313,4432868129
11829,telangana,2019,4,jangaon district,899519,1768140547
11830,telangana,2019,4,bhadradri kothagudem district,1404330,3333736228
11831,telangana,2019,4,warangal rural district,1122699,1916370720
11832,telangana,2019,4,kumuram bheem asifabad district,315212,636251308.4
11833,telangana,2019,4,nizamabad district,1638281,3627249339
11834,telangana,2019,4,adilabad district,395004,791642341.6
11835,telangana,2019,4,rajanna sircilla district,600689,1301541779
11836,telangana,2019,4,nagarkurnool district,933585,2233923658
11837,telangana,2019,4,peddapalle district,1360978,2960713412
11838,telangana,2019,4,nirmal district,528301,1133229683
11839,telangana,2019,4,mahabubabad district,850549,1675353014
11840,telangana,2019,4,sangareddy district,3687957,6643761917
11841,telangana,2019,4,wanaparthy district,507428,1216946623
11842,telangana,2019,4,vikarabad district,688709,1424370973
11843,telangana,2019,4,jagtial district,853526,1885810564
11844,telangana,2019,4,yadadri bhuvanagiri district,1376210,2917661179
11845,telangana,2019,4,medak district,746346,1468382159
11846,telangana,2019,4,mahbubnagar district,1133602,2409813569
11847,telangana,2019,4,jaya shankar bhalupally district,636364,1456148258
11848,telangana,2019,4,warangal urban district,4698981,7877138784
11849,telangana,2019,4,rangareddy district,31237803,44757331444
11850,telangana,2019,4,hyderabad district,72987282,1.3023E+11
11851,telangana,2019,4,suryapet district,1055324,2378054141
11852,telangana,2019,4,jogulamba gadwal district,521737,1114452481
11853,telangana,2019,4,kamareddy district,896879,1897721265
11854,telangana,2019,4,mulugu district,276728,653079691.2
11855,telangana,2019,4,medchal malkajgiri district,22999944,31417907130
11856,telangana,2019,4,karimnagar district,2289360,4404111001
11857,telangana,2019,4,mancherial district,1219849,2827258423
11858,telangana,2019,4,siddipet district,1508776,3271349293
11859,telangana,2019,4,khammam district,1917973,3902061677
11860,telangana,2020,1,narayanpet district,455130,1067253461
11861,telangana,2020,1,nalgonda district,2636023,6345459439
11862,telangana,2020,1,jangaon district,1358798,2902674910
11863,telangana,2020,1,bhadradri kothagudem district,1849454,4548915939
11864,telangana,2020,1,warangal rural district,1380277,2762397109
11865,telangana,2020,1,kumuram bheem asifabad district,431200,924829748.7
11866,telangana,2020,1,nizamabad district,2202642,4951415940
11867,telangana,2020,1,adilabad district,521578,1199179008
11868,telangana,2020,1,rajanna sircilla district,771444,1821242660
11869,telangana,2020,1,nagarkurnool district,1379087,3566283298
11870,telangana,2020,1,peddapalle district,1794982,3975776398
11871,telangana,2020,1,nirmal district,654090,1616088714
11872,telangana,2020,1,mahabubabad district,1131336,2380623171
11873,telangana,2020,1,sangareddy district,4610027,8691296108
11874,telangana,2020,1,wanaparthy district,705583,1719603963
11875,telangana,2020,1,vikarabad district,966022,2067670439
11876,telangana,2020,1,jagtial district,1100444,2555776131
11877,telangana,2020,1,yadadri bhuvanagiri district,1677327,3614895963
11878,telangana,2020,1,medak district,969091,1971427872
11879,telangana,2020,1,mahbubnagar district,1439754,3050397769
11880,telangana,2020,1,jaya shankar bhalupally district,837146,2203226557
11881,telangana,2020,1,warangal urban district,6200767,12008422912
11882,telangana,2020,1,rangareddy district,31802492,45881228274
11883,telangana,2020,1,hyderabad district,94177232,1.83207E+11
11884,telangana,2020,1,suryapet district,1427044,3295595248
11885,telangana,2020,1,jogulamba gadwal district,692408,1613421876
11886,telangana,2020,1,kamareddy district,1148492,2474184243
11887,telangana,2020,1,mulugu district,436187,1155104120
11888,telangana,2020,1,medchal malkajgiri district,25458101,37404467181
11889,telangana,2020,1,karimnagar district,3037633,6437076499
11890,telangana,2020,1,mancherial district,1708111,4017582989
11891,telangana,2020,1,siddipet district,1912271,4387174573
11892,telangana,2020,1,khammam district,2537352,5525879244
11893,telangana,2020,2,narayanpet district,695607,1503742472
11894,telangana,2020,2,nalgonda district,3786127,8540610043
11895,telangana,2020,2,jangaon district,1759512,3498060215
11896,telangana,2020,2,bhadradri kothagudem district,2391943,5623659101
11897,telangana,2020,2,warangal rural district,2026328,3918025398
11898,telangana,2020,2,kumuram bheem asifabad district,589630,1322968097
11899,telangana,2020,2,nizamabad district,2750473,6638415628
11900,telangana,2020,2,adilabad district,680275,1524883392
11901,telangana,2020,2,rajanna sircilla district,1005107,2223196911
11902,telangana,2020,2,nagarkurnool district,2065489,4460050448
11903,telangana,2020,2,peddapalle district,2293157,4788894395
11904,telangana,2020,2,nirmal district,835049,2145022169
11905,telangana,2020,2,mahabubabad district,1721463,3572106362
11906,telangana,2020,2,sangareddy district,4807036,8780427656
11907,telangana,2020,2,wanaparthy district,1041972,2330763456
11908,telangana,2020,2,vikarabad district,1337076,2336128468
11909,telangana,2020,2,jagtial district,1504160,3565039912
11910,telangana,2020,2,yadadri bhuvanagiri district,2018354,4098335518
11911,telangana,2020,2,medak district,1281978,2500774235
11912,telangana,2020,2,mahbubnagar district,1726832,3401780719
11913,telangana,2020,2,jaya shankar bhalupally district,1118207,2683325971
11914,telangana,2020,2,warangal urban district,6239185,13617334892
11915,telangana,2020,2,rangareddy district,18068048,31273545586
11916,telangana,2020,2,hyderabad district,56374644,1.3082E+11
11917,telangana,2020,2,suryapet district,2070003,5008825032
11918,telangana,2020,2,jogulamba gadwal district,960673,2414251007
11919,telangana,2020,2,kamareddy district,1588473,3530203792
11920,telangana,2020,2,mulugu district,548767,1498496960
11921,telangana,2020,2,medchal malkajgiri district,17860704,29732057895
11922,telangana,2020,2,karimnagar district,3030914,6621194088
11923,telangana,2020,2,mancherial district,2131238,4472790688
11924,telangana,2020,2,siddipet district,2417054,5240899390
11925,telangana,2020,2,khammam district,3329665,7845967967
11926,telangana,2020,3,narayanpet district,783327,1902627905
11927,telangana,2020,3,nalgonda district,5228596,12019426389
11928,telangana,2020,3,jangaon district,2017277,4140321228
11929,telangana,2020,3,bhadradri kothagudem district,3196550,7671316620
11930,telangana,2020,3,warangal rural district,2344202,4962993535
11931,telangana,2020,3,kumuram bheem asifabad district,769865,1675480570
11932,telangana,2020,3,nizamabad district,3738711,8812060817
11933,telangana,2020,3,adilabad district,897345,1988333703
11934,telangana,2020,3,rajanna sircilla district,1341971,3102179679
11935,telangana,2020,3,nagarkurnool district,2457619,5813967119
11936,telangana,2020,3,peddapalle district,3165247,6772933143
11937,telangana,2020,3,nirmal district,1117211,3114725315
11938,telangana,2020,3,mahabubabad district,2057383,4294089772
11939,telangana,2020,3,sangareddy district,6800085,12980683897
11940,telangana,2020,3,wanaparthy district,1234628,3016246623
11941,telangana,2020,3,vikarabad district,1608742,3284049784
11942,telangana,2020,3,jagtial district,2078603,5050134981
11943,telangana,2020,3,yadadri bhuvanagiri district,2675838,5838319417
11944,telangana,2020,3,medak district,1948206,4236040846
11945,telangana,2020,3,mahbubnagar district,2371373,5055802637
11946,telangana,2020,3,jaya shankar bhalupally district,1439193,3673328300
11947,telangana,2020,3,warangal urban district,7847624,17470830635
11948,telangana,2020,3,rangareddy district,29573243,51787722036
11949,telangana,2020,3,hyderabad district,99285803,2.28449E+11
11950,telangana,2020,3,suryapet district,2745417,6451797392
11951,telangana,2020,3,jogulamba gadwal district,1269849,3465592565
11952,telangana,2020,3,kamareddy district,1931489,4253804724
11953,telangana,2020,3,mulugu district,700289,1906993182
11954,telangana,2020,3,medchal malkajgiri district,28698311,48831695002
11955,telangana,2020,3,karimnagar district,4242409,9665080706
11956,telangana,2020,3,mancherial district,3056009,6633824054
11957,telangana,2020,3,siddipet district,3137039,7015923741
11958,telangana,2020,3,khammam district,4612672,10624076063
11959,telangana,2020,4,narayanpet district,1122820,2835819720
11960,telangana,2020,4,nalgonda district,7966177,19282405660
11961,telangana,2020,4,jangaon district,3031598,6561515594
11962,telangana,2020,4,bhadradri kothagudem district,5185352,12782078782
11963,telangana,2020,4,warangal rural district,3301035,7061015636
11964,telangana,2020,4,kumuram bheem asifabad district,1255788,2599620374
11965,telangana,2020,4,nizamabad district,5857682,15245199023
11966,telangana,2020,4,adilabad district,1494484,3501126353
11967,telangana,2020,4,rajanna sircilla district,2158748,5123169526
11968,telangana,2020,4,nagarkurnool district,3613079,9022680673
11969,telangana,2020,4,peddapalle district,5150603,10874763808
11970,telangana,2020,4,nirmal district,1709052,4786165445
11971,telangana,2020,4,mahabubabad district,2985467,6391599551
11972,telangana,2020,4,sangareddy district,11444304,22088541539
11973,telangana,2020,4,wanaparthy district,1878120,4653274169
11974,telangana,2020,4,vikarabad district,2521145,5380594708
11975,telangana,2020,4,jagtial district,3204589,8148634697
11976,telangana,2020,4,yadadri bhuvanagiri district,4445644,10126950083
11977,telangana,2020,4,medak district,2913551,6627122842
11978,telangana,2020,4,mahbubnagar district,3778283,8337765905
11979,telangana,2020,4,jaya shankar bhalupally district,2144371,5358552577
11980,telangana,2020,4,warangal urban district,11918795,25712185991
