,states,year,quarter,district,trans_counts,amount
0,andaman-&-nicobar-islands,2018,1,north and middle andaman district,442,931663.0771
1,andaman-&-nicobar-islands,2018,1,south andaman district,5688,12560249.34
2,andaman-&-nicobar-islands,2018,1,nicobars district,528,1139848.801
3,andaman-&-nicobar-islands,2018,2,north and middle andaman district,825,1317863.083
4,andaman-&-nicobar-islands,2018,2,south andaman district,9395,23948235.52
5,andaman-&-nicobar-islands,2018,2,nicobars district,1120,3072436.908
6,andaman-&-nicobar-islands,2018,3,north and middle andaman district,1283,4901529.518
7,andaman-&-nicobar-islands,2018,3,south andaman district,13511,44268112.46
8,andaman-&-nicobar-islands,2018,3,nicobars district,1471,6387829.152
9,andaman-&-nicobar-islands,2018,4,north and middle andaman district,2137,7955635.918
10,andaman-&-nicobar-islands,2018,4,south andaman district,20136,75411840.8
11,andaman-&-nicobar-islands,2018,4,nicobars district,1485,7180859.355
12,andaman-&-nicobar-islands,2019,1,north and middle andaman district,3264,9561708.736
13,andaman-&-nicobar-islands,2019,1,south andaman district,25683,85501972.39
14,andaman-&-nicobar-islands,2019,1,nicobars district,1539,7236059.549
15,andaman-&-nicobar-islands,2019,2,north and middle andaman district,3371,8612103.138
16,andaman-&-nicobar-islands,2019,2,south andaman district,28490,102530955.7
17,andaman-&-nicobar-islands,2019,2,nicobars district,1828,9111650.824
18,andaman-&-nicobar-islands,2019,3,north and middle andaman district,4049,11481466.28
19,andaman-&-nicobar-islands,2019,3,south andaman district,27421,91023888.33
20,andaman-&-nicobar-islands,2019,3,nicobars district,2300,11566421.48
21,andaman-&-nicobar-islands,2019,4,north and middle andaman district,4716,13524056.78
22,andaman-&-nicobar-islands,2019,4,south andaman district,27843,110930312.2
23,andaman-&-nicobar-islands,2019,4,nicobars district,2600,12384161.53
24,andaman-&-nicobar-islands,2020,1,north and middle andaman district,5674,14697371.62
25,andaman-&-nicobar-islands,2020,1,south andaman district,32713,134679396.9
26,andaman-&-nicobar-islands,2020,1,nicobars district,2911,12099543.77
27,andaman-&-nicobar-islands,2020,2,north and middle andaman district,10979,22447714.06
28,andaman-&-nicobar-islands,2020,2,south andaman district,48088,132855778.7
29,andaman-&-nicobar-islands,2020,2,nicobars district,3895,14341508.6
30,andaman-&-nicobar-islands,2020,3,north and middle andaman district,16747,33486883.37
31,andaman-&-nicobar-islands,2020,3,south andaman district,95323,282366109.2
32,andaman-&-nicobar-islands,2020,3,nicobars district,5413,22166453.75
33,andaman-&-nicobar-islands,2020,4,north and middle andaman district,29349,68941322.39
34,andaman-&-nicobar-islands,2020,4,south andaman district,186494,523122462.9
35,andaman-&-nicobar-islands,2020,4,nicobars district,8688,35218871.04
36,andaman-&-nicobar-islands,2021,1,north and middle andaman district,27358,75027255.28
37,andaman-&-nicobar-islands,2021,1,south andaman district,207092,669604045.1
38,andaman-&-nicobar-islands,2021,1,nicobars district,10302,39075266.99
39,andaman-&-nicobar-islands,2021,2,north and middle andaman district,39200,90233388.79
40,andaman-&-nicobar-islands,2021,2,south andaman district,286907,760893020.6
41,andaman-&-nicobar-islands,2021,2,nicobars district,15307,48020606.75
42,andaman-&-nicobar-islands,2021,3,north and middle andaman district,46592,118254865.8
43,andaman-&-nicobar-islands,2021,3,south andaman district,382418,1116789011
44,andaman-&-nicobar-islands,2021,3,nicobars district,20754,74980519.33
45,andaman-&-nicobar-islands,2021,4,north and middle andaman district,53115,156486112.3
46,andaman-&-nicobar-islands,2021,4,south andaman district,558571,1694794708
47,andaman-&-nicobar-islands,2021,4,nicobars district,24437,81329281.03
48,andaman-&-nicobar-islands,2022,1,north and middle andaman district,60059,161624878.5
49,andaman-&-nicobar-islands,2022,1,south andaman district,705512,1872991196
50,andaman-&-nicobar-islands,2022,1,nicobars district,29177,94414127.65
51,andaman-&-nicobar-islands,2022,2,north and middle andaman district,72573,195693167.8
52,andaman-&-nicobar-islands,2022,2,south andaman district,954875,2357326563
