,states,year,quarter,district,trans_counts,amount
81,andhra-pradesh,2018,3,east godavari,3226907,3551247095
82,andhra-pradesh,2018,3,kurnool,2921189,2908389262
83,andhra-pradesh,2018,3,krishna,2396934,3754202654
84,andhra-pradesh,2018,3,chittoor,2297429,3283517631
85,andhra-pradesh,2018,3,guntur,1912529,3127764663
86,andhra-pradesh,2018,3,anantapur,1815215,2681787750
87,andhra-pradesh,2018,3,ysr,1557444,2235904512
88,andhra-pradesh,2018,3,west godavari,1431282,2309078493
89,andhra-pradesh,2018,3,prakasam,1319651,2346453445
90,andhra-pradesh,2018,4,visakhapatnam,4791421,7366635865
91,andhra-pradesh,2018,4,chittoor,3166201,4979093890
92,andhra-pradesh,2018,4,east godavari,3052762,4652624623
93,andhra-pradesh,2018,4,krishna,2839161,5416251838
94,andhra-pradesh,2018,4,guntur,2546620,4730251218
95,andhra-pradesh,2018,4,kurnool,2508530,3626544852
96,andhra-pradesh,2018,4,anantapur,2286391,3975878156
97,andhra-pradesh,2018,4,spsr nellore,1814997,3293448557
98,andhra-pradesh,2018,4,ysr,1732527,3252340063
99,andhra-pradesh,2018,4,prakasam,1692862,3255254226
100,andhra-pradesh,2019,1,visakhapatnam,9690866,13459857441
101,andhra-pradesh,2019,1,chittoor,6486813,8223371732
102,andhra-pradesh,2019,1,krishna,5443981,9061346433
103,andhra-pradesh,2019,1,east godavari,5440146,7382264725
104,andhra-pradesh,2019,1,guntur,4846553,7765934169
105,andhra-pradesh,2019,1,kurnool,4193432,5541564893
106,andhra-pradesh,2019,1,anantapur,3891336,6044730653
107,andhra-pradesh,2019,1,spsr nellore,3333584,5161932216
108,andhra-pradesh,2019,1,prakasam,2931081,4807527779
109,andhra-pradesh,2019,1,ysr,2852197,4915811594
110,andhra-pradesh,2019,2,visakhapatnam,11705738,20797479804
111,andhra-pradesh,2019,2,krishna,6428472,13437029116
112,andhra-pradesh,2019,2,chittoor,5983308,10982727976
113,andhra-pradesh,2019,2,guntur,5005275,10405246943
114,andhra-pradesh,2019,2,east godavari,4699261,9116404622
115,andhra-pradesh,2019,2,kurnool,3895824,7358285187
116,andhra-pradesh,2019,2,anantapur,3578836,7830782361
117,andhra-pradesh,2019,2,spsr nellore,3141891,6880873007
118,andhra-pradesh,2019,2,prakasam,2670529,6262396448
119,andhra-pradesh,2019,2,ysr,2606284,6376856828
120,andhra-pradesh,2019,3,visakhapatnam,16694947,26944837120
121,andhra-pradesh,2019,3,krishna,8408474,16404073561
122,andhra-pradesh,2019,3,chittoor,8201783,13837455759
123,andhra-pradesh,2019,3,guntur,6942304,13075661264
124,andhra-pradesh,2019,3,east godavari,6537303,11387726471
125,andhra-pradesh,2019,3,kurnool,5139134,9025632779
126,andhra-pradesh,2019,3,anantapur,4889720,9554081289
127,andhra-pradesh,2019,3,spsr nellore,4150195,8256600119
128,andhra-pradesh,2019,3,prakasam,3430750,7354502261
129,andhra-pradesh,2019,3,ysr,3296586,7447544274
130,andhra-pradesh,2019,4,visakhapatnam,23594874,39133296330
131,andhra-pradesh,2019,4,krishna,11719402,23039786404
132,andhra-pradesh,2019,4,chittoor,11246986,19298476028
133,andhra-pradesh,2019,4,guntur,9761330,18565626418
134,andhra-pradesh,2019,4,east godavari,9285739,16816774065
135,andhra-pradesh,2019,4,kurnool,7001958,13233105729
136,andhra-pradesh,2019,4,anantapur,6764112,13887248889
137,andhra-pradesh,2019,4,spsr nellore,5877804,11786014089
138,andhra-pradesh,2019,4,prakasam,4865473,10604077825
139,andhra-pradesh,2019,4,ysr,4793157,10865073856
140,andhra-pradesh,2020,1,visakhapatnam,27115031,48809747615
141,andhra-pradesh,2020,1,chittoor,13257740,23441848567
142,andhra-pradesh,2020,1,krishna,12175289,24481702771
143,andhra-pradesh,2020,1,guntur,11493331,22992734621
144,andhra-pradesh,2020,1,east godavari,11346242,21854701379
145,andhra-pradesh,2020,1,anantapur,8466129,17864325753
146,andhra-pradesh,2020,1,kurnool,8246869,17022710312
